2025-03-05 03:16:22,413 INFO: Machine machine3 initialized with tick rate 97 ticks per second
2025-03-05 03:16:22,413 INFO: Internal event: updated logical clock to 1, system_time=1741162582
2025-03-05 03:16:22,420 INFO: gRPC server started on port 50053
2025-03-05 03:16:22,426 INFO: Internal event: updated logical clock to 2, system_time=1741162582
2025-03-05 03:16:22,439 INFO: Internal event: updated logical clock to 3, system_time=1741162582
2025-03-05 03:16:22,442 INFO: Received message from machine2: received_clock=2, system_time=1741162582
2025-03-05 03:16:22,451 INFO: Processed received message: updated logical clock to 4, system_time=1741162582, queue_length=0
2025-03-05 03:16:22,452 INFO: Received message from machine1: received_clock=2, system_time=1741162582
2025-03-05 03:16:22,463 INFO: Processed received message: updated logical clock to 5, system_time=1741162582, queue_length=0
2025-03-05 03:16:22,474 INFO: Internal event: updated logical clock to 6, system_time=1741162582
2025-03-05 03:16:22,485 INFO: Internal event: updated logical clock to 7, system_time=1741162582
2025-03-05 03:16:22,486 INFO: Received message from machine1: received_clock=3, system_time=1741162582
2025-03-05 03:16:22,498 INFO: Processed received message: updated logical clock to 8, system_time=1741162582, queue_length=0
2025-03-05 03:16:22,509 INFO: Internal event: updated logical clock to 9, system_time=1741162582
2025-03-05 03:16:22,511 INFO: Received message from machine2: received_clock=5, system_time=1741162582
2025-03-05 03:16:22,520 INFO: Processed received message: updated logical clock to 10, system_time=1741162582, queue_length=0
2025-03-05 03:16:22,532 INFO: Internal event: updated logical clock to 11, system_time=1741162582
2025-03-05 03:16:22,545 INFO: Internal event: updated logical clock to 12, system_time=1741162582
2025-03-05 03:16:22,559 INFO: Sent message to localhost:50051: sent_clock=13, system_time=1741162582
2025-03-05 03:16:22,560 INFO: Sent message to localhost:50052: sent_clock=13, system_time=1741162582
2025-03-05 03:16:22,561 INFO: Broadcast sent: updated logical clock to 13, system_time=1741162582
2025-03-05 03:16:22,568 INFO: Internal event: updated logical clock to 14, system_time=1741162582
2025-03-05 03:16:22,579 INFO: Internal event: updated logical clock to 15, system_time=1741162582
2025-03-05 03:16:22,593 INFO: Sent message to localhost:50051: sent_clock=16, system_time=1741162582
2025-03-05 03:16:22,594 INFO: Sent message to localhost:50052: sent_clock=16, system_time=1741162582
2025-03-05 03:16:22,594 INFO: Broadcast sent: updated logical clock to 16, system_time=1741162582
2025-03-05 03:16:22,603 INFO: Internal event: updated logical clock to 17, system_time=1741162582
2025-03-05 03:16:22,618 INFO: Sent message to localhost:50051: sent_clock=18, system_time=1741162582
2025-03-05 03:16:22,619 INFO: Sent message to localhost:50052: sent_clock=18, system_time=1741162582
2025-03-05 03:16:22,619 INFO: Broadcast sent: updated logical clock to 18, system_time=1741162582
2025-03-05 03:16:22,628 INFO: Internal event: updated logical clock to 19, system_time=1741162582
2025-03-05 03:16:22,641 INFO: Internal event: updated logical clock to 20, system_time=1741162582
2025-03-05 03:16:22,653 INFO: Internal event: updated logical clock to 21, system_time=1741162582
2025-03-05 03:16:22,665 INFO: Internal event: updated logical clock to 22, system_time=1741162582
2025-03-05 03:16:22,680 INFO: Sent message to localhost:50051: sent_clock=23, system_time=1741162582
2025-03-05 03:16:22,681 INFO: Sent event to localhost:50051: updated logical clock to 23, system_time=1741162582
2025-03-05 03:16:22,692 INFO: Sent message to localhost:50052: sent_clock=24, system_time=1741162582
2025-03-05 03:16:22,692 INFO: Sent event to localhost:50052: updated logical clock to 24, system_time=1741162582
2025-03-05 03:16:22,703 INFO: Internal event: updated logical clock to 25, system_time=1741162582
2025-03-05 03:16:22,716 INFO: Internal event: updated logical clock to 26, system_time=1741162582
2025-03-05 03:16:22,725 INFO: Received message from machine2: received_clock=26, system_time=1741162582
