2025-03-05 02:39:38,691 INFO: Machine machine2 initialized with tick rate 5 ticks per second
2025-03-05 02:39:38,697 INFO: gRPC server started on port 50052
2025-03-05 02:39:38,699 INFO: Sent message to localhost:50053: sent_clock=1, system_time=1741160378
2025-03-05 02:39:38,700 INFO: Sent event to localhost:50053: updated logical clock to 1, system_time=1741160378
2025-03-05 02:39:38,894 INFO: Internal event: updated logical clock to 2, system_time=1741160378
2025-03-05 02:39:39,099 INFO: Internal event: updated logical clock to 3, system_time=1741160379
2025-03-05 02:39:39,303 INFO: Internal event: updated logical clock to 4, system_time=1741160379
2025-03-05 02:39:39,507 INFO: Internal event: updated logical clock to 5, system_time=1741160379
2025-03-05 02:39:39,703 INFO: Received message from machine3: received_clock=3, system_time=1741160379
2025-03-05 02:39:39,710 INFO: Processed received message: updated logical clock to 6, system_time=1741160379, queue_length=0
2025-03-05 02:39:39,916 INFO: Internal event: updated logical clock to 7, system_time=1741160379
2025-03-05 02:39:40,116 INFO: Internal event: updated logical clock to 8, system_time=1741160380
2025-03-05 02:39:40,327 INFO: Sent message to localhost:50051: sent_clock=9, system_time=1741160380
2025-03-05 02:39:40,328 INFO: Sent event to localhost:50051: updated logical clock to 9, system_time=1741160380
2025-03-05 02:39:40,523 INFO: Internal event: updated logical clock to 10, system_time=1741160380
2025-03-05 02:39:40,724 INFO: Internal event: updated logical clock to 11, system_time=1741160380
2025-03-05 02:39:40,924 INFO: Internal event: updated logical clock to 12, system_time=1741160380
2025-03-05 02:39:41,132 INFO: Sent message to localhost:50051: sent_clock=13, system_time=1741160381
2025-03-05 02:39:41,134 INFO: Sent message to localhost:50053: sent_clock=13, system_time=1741160381
2025-03-05 02:39:41,134 INFO: Broadcast sent: updated logical clock to 13, system_time=1741160381
2025-03-05 02:39:41,335 INFO: Sent message to localhost:50053: sent_clock=14, system_time=1741160381
2025-03-05 02:39:41,335 INFO: Sent event to localhost:50053: updated logical clock to 14, system_time=1741160381
2025-03-05 02:39:41,537 INFO: Internal event: updated logical clock to 15, system_time=1741160381
2025-03-05 02:39:41,742 INFO: Internal event: updated logical clock to 16, system_time=1741160381
2025-03-05 02:39:41,946 INFO: Sent message to localhost:50053: sent_clock=17, system_time=1741160381
2025-03-05 02:39:41,946 INFO: Sent event to localhost:50053: updated logical clock to 17, system_time=1741160381
2025-03-05 02:39:42,146 INFO: Sent message to localhost:50051: sent_clock=18, system_time=1741160382
2025-03-05 02:39:42,146 INFO: Sent event to localhost:50051: updated logical clock to 18, system_time=1741160382
2025-03-05 02:39:42,347 INFO: Sent message to localhost:50053: sent_clock=19, system_time=1741160382
2025-03-05 02:39:42,347 INFO: Sent event to localhost:50053: updated logical clock to 19, system_time=1741160382
2025-03-05 02:39:42,548 INFO: Sent message to localhost:50051: sent_clock=20, system_time=1741160382
2025-03-05 02:39:42,548 INFO: Sent event to localhost:50051: updated logical clock to 20, system_time=1741160382
2025-03-05 02:39:42,751 INFO: Internal event: updated logical clock to 21, system_time=1741160382
2025-03-05 02:39:42,953 INFO: Internal event: updated logical clock to 22, system_time=1741160382
2025-03-05 02:39:43,157 INFO: Internal event: updated logical clock to 23, system_time=1741160383
2025-03-05 02:39:43,362 INFO: Internal event: updated logical clock to 24, system_time=1741160383
