2025-03-05 03:34:41,976 INFO: Machine machine2 initialized with tick rate 2 ticks per second
2025-03-05 03:34:41,977 INFO: Internal event: updated logical clock to 1, system_time=1741163681
2025-03-05 03:34:41,984 INFO: gRPC server started on port 50052
2025-03-05 03:34:42,490 INFO: Sent message to localhost:50053: sent_clock=2, system_time=1741163682
2025-03-05 03:34:42,490 INFO: Sent event to localhost:50053: updated logical clock to 2, system_time=1741163682
2025-03-05 03:34:42,987 INFO: Sent message to localhost:50051: sent_clock=3, system_time=1741163682
2025-03-05 03:34:42,989 INFO: Sent message to localhost:50053: sent_clock=3, system_time=1741163682
2025-03-05 03:34:42,990 INFO: Broadcast sent: updated logical clock to 3, system_time=1741163682
2025-03-05 03:34:43,497 INFO: Sent message to localhost:50051: sent_clock=4, system_time=1741163683
2025-03-05 03:34:43,500 INFO: Sent message to localhost:50053: sent_clock=4, system_time=1741163683
2025-03-05 03:34:43,500 INFO: Broadcast sent: updated logical clock to 4, system_time=1741163683
2025-03-05 03:34:44,001 INFO: Sent message to localhost:50053: sent_clock=5, system_time=1741163683
2025-03-05 03:34:44,001 INFO: Sent event to localhost:50053: updated logical clock to 5, system_time=1741163683
2025-03-05 03:34:44,502 INFO: Internal event: updated logical clock to 6, system_time=1741163684
2025-03-05 03:34:45,004 INFO: Internal event: updated logical clock to 7, system_time=1741163685
2025-03-05 03:34:45,508 INFO: Internal event: updated logical clock to 8, system_time=1741163685
2025-03-05 03:34:46,001 INFO: Received message from machine1: received_clock=6, system_time=1741163685
2025-03-05 03:34:46,012 INFO: Processed received message: updated logical clock to 9, system_time=1741163686, queue_length=0
2025-03-05 03:34:46,520 INFO: Sent message to localhost:50051: sent_clock=10, system_time=1741163686
2025-03-05 03:34:46,524 INFO: Sent message to localhost:50053: sent_clock=10, system_time=1741163686
2025-03-05 03:34:46,524 INFO: Broadcast sent: updated logical clock to 10, system_time=1741163686
2025-03-05 03:34:47,024 INFO: Sent message to localhost:50051: sent_clock=11, system_time=1741163687
2025-03-05 03:34:47,026 INFO: Sent message to localhost:50053: sent_clock=11, system_time=1741163687
2025-03-05 03:34:47,026 INFO: Broadcast sent: updated logical clock to 11, system_time=1741163687
2025-03-05 03:34:47,529 INFO: Sent message to localhost:50051: sent_clock=12, system_time=1741163687
2025-03-05 03:34:47,531 INFO: Sent message to localhost:50053: sent_clock=12, system_time=1741163687
2025-03-05 03:34:47,531 INFO: Broadcast sent: updated logical clock to 12, system_time=1741163687
2025-03-05 03:34:48,031 INFO: Sent message to localhost:50051: sent_clock=13, system_time=1741163688
2025-03-05 03:34:48,032 INFO: Sent message to localhost:50053: sent_clock=13, system_time=1741163688
2025-03-05 03:34:48,033 INFO: Broadcast sent: updated logical clock to 13, system_time=1741163688
2025-03-05 03:34:48,532 INFO: Internal event: updated logical clock to 14, system_time=1741163688
2025-03-05 03:34:49,039 INFO: Sent message to localhost:50051: sent_clock=15, system_time=1741163689
2025-03-05 03:34:49,041 INFO: Sent message to localhost:50053: sent_clock=15, system_time=1741163689
2025-03-05 03:34:49,041 INFO: Broadcast sent: updated logical clock to 15, system_time=1741163689
2025-03-05 03:34:49,541 INFO: Internal event: updated logical clock to 16, system_time=1741163689
2025-03-05 03:34:50,049 INFO: Sent message to localhost:50053: sent_clock=17, system_time=1741163690
2025-03-05 03:34:50,049 INFO: Sent event to localhost:50053: updated logical clock to 17, system_time=1741163690
2025-03-05 03:34:50,549 INFO: Internal event: updated logical clock to 18, system_time=1741163690
2025-03-05 03:34:51,056 INFO: Sent message to localhost:50051: sent_clock=19, system_time=1741163691
2025-03-05 03:34:51,056 INFO: Sent event to localhost:50051: updated logical clock to 19, system_time=1741163691
2025-03-05 03:34:51,558 INFO: Sent message to localhost:50051: sent_clock=20, system_time=1741163691
2025-03-05 03:34:51,561 INFO: Sent message to localhost:50053: sent_clock=20, system_time=1741163691
2025-03-05 03:34:51,561 INFO: Broadcast sent: updated logical clock to 20, system_time=1741163691
2025-03-05 03:34:52,057 INFO: Internal event: updated logical clock to 21, system_time=1741163692
2025-03-05 03:34:52,558 INFO: Internal event: updated logical clock to 22, system_time=1741163692
2025-03-05 03:34:53,060 INFO: Internal event: updated logical clock to 23, system_time=1741163693
2025-03-05 03:34:53,567 INFO: Sent message to localhost:50051: sent_clock=24, system_time=1741163693
2025-03-05 03:34:53,571 INFO: Sent message to localhost:50053: sent_clock=24, system_time=1741163693
2025-03-05 03:34:53,571 INFO: Broadcast sent: updated logical clock to 24, system_time=1741163693
2025-03-05 03:34:54,067 INFO: Internal event: updated logical clock to 25, system_time=1741163694
2025-03-05 03:34:54,573 INFO: Sent message to localhost:50051: sent_clock=26, system_time=1741163694
2025-03-05 03:34:54,576 INFO: Sent message to localhost:50053: sent_clock=26, system_time=1741163694
2025-03-05 03:34:54,576 INFO: Broadcast sent: updated logical clock to 26, system_time=1741163694
2025-03-05 03:34:55,081 INFO: Sent message to localhost:50051: sent_clock=27, system_time=1741163695
2025-03-05 03:34:55,084 INFO: Sent message to localhost:50053: sent_clock=27, system_time=1741163695
2025-03-05 03:34:55,084 INFO: Broadcast sent: updated logical clock to 27, system_time=1741163695
