2025-03-05 02:05:46.f - RECEIVE - System Time: 2025-03-05 02:05:46.813611, Queue Length: 1, Logical Clock: 2, From: Machine 2
2025-03-05 02:05:47.f - RECEIVE - System Time: 2025-03-05 02:05:47.318964, Queue Length: 0, Logical Clock: 3, From: Machine 2
2025-03-05 02:05:47.f - RECEIVE - System Time: 2025-03-05 02:05:47.824613, Queue Length: 1, Logical Clock: 6, From: Machine 2
2025-03-05 02:05:48.f - RECEIVE - System Time: 2025-03-05 02:05:48.328746, Queue Length: 1, Logical Clock: 8, From: Machine 2
2025-03-05 02:05:48.f - RECEIVE - System Time: 2025-03-05 02:05:48.832991, Queue Length: 2, Logical Clock: 9, From: Machine 2
2025-03-05 02:05:49.f - RECEIVE - System Time: 2025-03-05 02:05:49.335140, Queue Length: 1, Logical Clock: 12, From: Machine 2
2025-03-05 02:05:49.f - RECEIVE - System Time: 2025-03-05 02:05:49.840546, Queue Length: 1, Logical Clock: 13, From: Machine 2
2025-03-05 02:05:50.f - RECEIVE - System Time: 2025-03-05 02:05:50.345854, Queue Length: 1, Logical Clock: 16, From: Machine 2
2025-03-05 02:05:50.f - RECEIVE - System Time: 2025-03-05 02:05:50.846645, Queue Length: 1, Logical Clock: 19, From: Machine 2
2025-03-05 02:05:51.f - RECEIVE - System Time: 2025-03-05 02:05:51.348689, Queue Length: 1, Logical Clock: 21, From: Machine 2
2025-03-05 02:05:51.f - RECEIVE - System Time: 2025-03-05 02:05:51.851051, Queue Length: 1, Logical Clock: 24, From: Machine 2
2025-03-05 02:05:52.f - RECEIVE - System Time: 2025-03-05 02:05:52.356573, Queue Length: 0, Logical Clock: 26, From: Machine 2
2025-03-05 02:05:52.f - RECEIVE - System Time: 2025-03-05 02:05:52.862461, Queue Length: 0, Logical Clock: 31, From: Machine 2
2025-03-05 02:05:53.f - SEND - System Time: 2025-03-05 02:05:53.369762, Logical Clock: 32, Destination: Machine at ('localhost', 50002)
2025-03-05 02:05:53.f - RECEIVE - System Time: 2025-03-05 02:05:53.879376, Queue Length: 0, Logical Clock: 36, From: Machine 2
